Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1385,ITTEFAQ BROTHERS,(PVT) LTD. SHADARA,,6304637-8,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1386,ITTEHAD STEEL INDUSTRIES,KOTLI PIR ABDUL REHMAN BAGHBANPURA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1387,JAHANGIR & BROTHERS,"STEEL MILLS, MOMINPURA, DAROGHAWALA",,6550449,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1388,JAMAL STEEL RE-ROLLING MILLS,(PVT) LTD. SIDDIQIA COLONY NOOR ROAD BADAMI BAGH,,"7280964, 7284150",,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1389,JAMEEL STEEL INDUSTRIES,LAKHODAIR ROAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1390,JAMSHED STEEL RE-ROLLING MILLS,RASHEEDPURA FATEH GARH ROAD BAGHBANPURA,,6550081,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1391,JAVAID IQBAL STEEL RE-ROLLING MILLS,", SOHARWARDI STREET SHALIMAR TOWN",,6545048,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1392,JAVAID NAZIR BROTHERS,"(PVT) LTD., BHANI ROAD, SHADIPURA",,6861527,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1393,JAVAID PERVAIZ RE-ROLLING STEEL MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1394,K.M.STEEL MILLS,MOMINPURA DAROGHAWALA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1395,KAMAL STEEL RE-ROLLING MILLS,BUND ROAD MAHMOOD BOOTI,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1396,KAMRAN STEEL RE-ROLLING MILLS,", LAKHODAIR ROAD, SHADIPURA",,6858779,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1397,KARAMAT BROTHERS,MOMINPURA ROAD DAROGHAWALA,,6551615,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1398,KARWAN STEEL RE-ROLLING MILLS,SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1399,KASHIF STEEL MILLS,BHOGIWAL ROAD,,6814320,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1400,KHAJIA STEEL INDUSTRIES,", BUND ROAD, KROL GHATI",,0322-4007377,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
